rank,business_name,legal_name_on_license,tier,research_batch,fit_percent,cslb_license,license_status,entity,classifications,issue_date,expire_date,bond_carrier,bond_amount,bond_cancellation,workers_comp,cslb_address,cslb_phone,published_phone,sf_plumbing_permits,website,snake_shower,tub_overflow_access,non_destructive,prewar_galvanized,camera_inspection,weekend_emergency,flag_count,critical_flags,cslb_source_url,raw_capture
1,ASAP Plumbing Pros,ASAP PLUMBING PRO,recommended,,50,1113916,active,Sole Ownership,C36 - PLUMBING,12/13/2023,12/31/2027,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,exempt,"550 PALM AVE / SOUTH SAN FRANCISCO, CA 94080",(415) 728-6391,(415) 728-6391,,,documented,advertised,unknown,unknown,unknown,advertised,4,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1113916,data/raw/cslb-1113916.txt
2,Atlas Plumbing & Rooter,ATLAS PLUMBING & ROOTER,recommended,,42,868994,active,Corporation,C36 - PLUMBING ; A - GENERAL ENGINEERING,12/08/2005,03/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"3311 MISSION STREET UNIT 165 / SAN FRANCISCO, CA 94110",(650) 871-9863,(415) 845-9199,1448,https://www.atlasplumbingandrooter.com/,documented-adjacent,advertised,unknown,unknown,advertised,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=868994,data/raw/cslb-868994.txt
3,Costello's Plumbing,COSTELLO'S PLUMBING,recommended,2026-09-04-expansion-20,42,1018923,active,Sole Ownership,C36 - PLUMBING,09/30/2016,09/30/2028,HUDSON INSURANCE COMPANY,"$25,000",,insured,"3826 ANZA WAY / SAN LEANDRO, CA 94578",(510) 415-0725,(510) 415-0725,20,https://costellosplumbing.com/,documented-adjacent,advertised,unknown,unknown,unknown,advertised,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1018923,data/raw/cslb-1018923.txt
4,Drain Busters Plumbing,DRAIN BUSTERS PLUMBING,viable,2026-09-04-expansion-20,58,828747,active,Sole Ownership,C36 - PLUMBING,12/18/2003,12/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"5835 THIRD STREET / SAN FRANCISCO, CA 94124",(650) 271-1997,(650) 271-1997,,https://www.drainbustersplumbing.net/,advertised,advertised,documented-adjacent,unknown,documented-adjacent,advertised,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=828747,data/raw/cslb-828747.txt
5,Mr. Rooter Plumbing of San Francisco,FERGUSON PLUMBING INC,viable,,50,453536,active,Corporation,C36 - PLUMBING ; C42 - SANITATION SYSTEM,03/12/1984,04/30/2028,FEDERATED MUTUAL INSURANCE COMPANY,"$25,000",,insured,"dba MR ROOTER PLUMBING / 50 HEGENBERGER LOOP / OAKLAND, CA 94621",(510) 843-6378,(415) 906-2456,27,https://www.mrrooter.com/san-francisco/,documented,advertised,unknown,unknown,unknown,advertised,5,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=453536,data/raw/cslb-453536.txt
6,"George Salet Plumbing, Inc.",GEORGE SALET PLUMBING INC,viable,2026-09-04-expansion-20,42,888630,active,Corporation,C16 - FIRE PROTECTION; C36 - PLUMBING,12/21/2006,12/31/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"200 VALLEY DRIVE #51 / BRISBANE, CA 94005",(415) 334-0733,(415) 334-0733,,https://plumbingpro.com/,advertised,documented-adjacent,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=888630,data/raw/cslb-888630.txt
7,Starboy Plumbing Inc.,STARBOY PLUMBING INC,viable,2026-09-04-expansion-20,42,1051650,active,Corporation,C36 - PLUMBING,03/25/2019,03/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,exempt,"1580 FOLSOM ST / SAN FRANCISCO, CA 94103",(650) 290-1350,(650) 290-1350,,,advertised,documented-adjacent,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1051650,data/raw/cslb-1051650.txt
8,Whistle Plumbing,WHISTLE PLUMBING INC,viable,,33,962328,active,Corporation,C36 - PLUMBING,06/20/2011,07/31/2027,PHILADELPHIA INDEMNITY INSURANCE COMPANY,"$25,000",,exempt,"544 VERDUCCI DRIVE / DALY CITY, CA 94015",(415) 412-3727,(415) 412-3727,141,https://whistleplumbing.com/,advertised,advertised,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=962328,data/raw/cslb-962328.txt
9,AMX Plumbing,AMX PLUMBING,viable,,33,822482,active,Sole Ownership,C36 - PLUMBING,08/06/2003,08/31/2027,WESTERN SURETY COMPANY,"$25,000",,exempt,"767 STEWART AVENUE / DALY CITY, CA 94015",(415) 688-5358,(415) 688-5358,54,,advertised,advertised,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=822482,data/raw/cslb-822482.txt
10,"Albert Hall Plumbing, Inc.",ALBERT HALL INC,viable,2026-09-04-expansion-20,33,875126,active,Corporation,C36 - PLUMBING,03/28/2006,10/31/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"2490 WHITMAN WAY / SAN BRUNO, CA 94066",(415) 260-1434,(415) 260-1434,,,advertised,advertised,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=875126,data/raw/cslb-875126.txt
